ID,text,user_followers_count,user_friends_count,user_location
40,"RT @vandanaiscool: i wrote about sisterhood, haldi, and the ways cultural tradition serves as an alternative form of intimacy in the new season of #bridgerton for @teenvogue! pls give it a read, put the K3G string cover on, feel the feelings. 💫💛🌻 https://t.co/KmAyhNlV8J",339,796,Amiskwaciwâskahikan / ᐊᒥᐢᑲᐧᒋᐋᐧ
41,"RT @booksumers: todos concordamos que o benedict chapado foi a melhor coisa dessa temporada né?
#Bridgerton
https://t.co/tibXjEwNL6",7946,8683,crf • fcbm • cfc • rmcf • patriots • isles • lakers
42,"RT @diannasabrina: Mano trocaram toda a personalidade da Edwina, ela nunca falaria que é meia-irmã da kate.
Mds a Edwina dos livros foi a primeira a perceber kathony e super apoiava os dois, já a da série parece uma adolescente com os hormônios a flor da pele.
#Bridgerton",318,820,
43,Whoa what??? #Bridgerton,7346,345,NTMJ Follows ♡ Mx20 Sx2 ♡
44,RT @bridgerton: It appears that Miss Sharma and The Viscount have found a reason to smile. I wonder what that could be. #Bridgerton https://t.co/PbRGKIfeLP,200,558,
45,"Socoooorro, fiquei sem fôlego, coração acelerou aqui, tem criança passando mal #Bridgerton",193,531,"São Paulo, BRA"
46,"RT @aelinsgod: bridgerton spoilers
.
.
.
estragaram a irmandade das irmãs sharma ao ponto DO QUE? eu tô até agora procurando razão pra tudo, esse drama todo pelo amor de deus tudo no livro é tão prático e divertido e virou essa novela mexicana desnecessária na série 
#bridgerton",5266,4148,
47,"RT @Lad_Whistledown: TEORIA (PODEM ME COBRAR)

Assim como tivemos Daph bem presente ajudando tudo e ligando os pontos, nas próximas teremos uma participação ENORME de Kate e Anthony mais maduros carregando o título de visconde que viscondessa

#bridgerton",153,112,"Brasília, Brasil"
48,Also penny didn’t deserve such a trash friend! #Bridgerton,180,188,"NC, VA and Beyond!!!"
49,RT @jonnybaeley: KATE AND ANTHONY BRIDGERTON ARE HAPPILY MARRIED AND IT'S ALL THAT MATTERS 😭😭😭 #Bridgerton https://t.co/56MN6VY9bG,776,2523,
50,RT @TheBestParker_: The way they changed Kate’s full name from Katharine to Kathani…and that the Viscount called her this 😩❤️🔥❤️‍🔥😭🐝 #Bridgerton  #Kanthony  #Bridgerton2 https://t.co/53aqUbLUSz,1905,1832,🇵🇭
51,"RT @maria_mimss: anthony to daphne : but NOTHING HAPPENED

anthony in the library 5 seconds earlier :

#Bridgerton https://t.co/mPpUOw48h9",449,289,"California, USA"
52,"RT @QueenLionessK: Lady Whistledown: Dearest gentle reader....did you miss me?
Me:
#Bridgerton #bridgertonseason2 https://t.co/gVeovsfbfY",395,769,
53,RT @S3THMER: the progression of kate's hair getting less neat throughout the season as she opens herself up to love is something so personal to me #Bridgerton https://t.co/ZlQceNBDb6,934,296,
54,he literally told her he’s gonna be thinking about her the entire time he is married im weakkkkk #bridgerton,514,837,black • she/her • 19
55,"SPOILER BRIDGERTON 

.

.

.

não mas o philip crane com seus 5 seg de tela perfeito. Ele sorrindo daquele jeito pro colin imagina quando for pra eloise #Bridgerton",2467,2477,in dev patel's heart
56,RT @bridgerton: The Viscount and Miss Sharma may not be the only pair with a love and hate dynamic. #Bridgerton https://t.co/je4NUc1CHm,200,558,
57,"RT @blulentigginosa: benedict bridgerton is written by a woman.
#Bridgerton https://t.co/UgNGOEWvKZ",232,253,clayliv my home
58,"RT @iris_bee_: these two WRECKED me. they were perfect. no one could’ve played Kate and Anthony better, with more nuance, with more understanding and care. I owe them everything I love about this season, I owe them my joy. 💜 #Bridgerton #bridgerton2 #Kanthony https://t.co/kGzM2POKoU",1905,1832,🇵🇭
59,Eu queria ver ele noivo da Kate pq foram pegos no flagra etc etc..... #Bridgerton https://t.co/kNdiNvUIeA,2134,698,"Bahia, Brasil"
60,"Essa cena aqui meus amigos.... 
#Bridgerton https://t.co/Yj6aYK1Hwn",2228,3565,|📘: DUNA
61,a relação da kate com a mary é tão bonita #Bridgerton https://t.co/rWg2yssmxs,1437,1066,she/her • intj • ben barnes gf
62,Where’s the spinoff where Edwina become a princess? I need it yesterday. #Bridgerton,312,87,
63,RT @kathanisharma: HOW MANY FINGERS #bridgerton https://t.co/2YyWRqdgMb,6303,6231,poppycas and jurdan!¡
64,Bee stings. But sexy. #Bridgerton,148,126,Australia
65,RT @KateThornley3: Me after bingeing the entire new season in a day #Bridgerton https://t.co/s7ZB2rVKrZ,145,278,probably annoying fabian
66,I finished S2 of #Bridgerton,680,678,
67,"RT @nancyswheeIer: “you are the bane of my existence and the object of all my desires.” 

#bridgerton https://t.co/oiMklX09gE",2566,4459,
68,Charlie's Angels: regency era 😚✨#Bridgerton https://t.co/SMEyXNh80Q,1713,170,❄ Hosu University Attic ❄
69,"RT @ladygbson: o melhor de tudo foi a simone e o jonny que conseguiram entregar TUDO como kate e anthony!!!!!! a química de MILHÕES, eles foram perfeitos ❤️ #Bridgerton #bridgertonseason2 https://t.co/34eu26x9Th",2488,272,"Belo Horizonte, Brasil"
70,"anthony sta mettendo a dura prova i sentimenti che provo per benedict da molto tempo 
#Bridgerton",1870,2141,
71,"RT @afro_italian: The 'enemies to lovers' trope will
always be my favourite 🥺
#Bridgerton #bridgertonseason2 https://t.co/Aqun6dyDUP",494,269,Trinidad and Tobago
72,"RT @alicxss: eu não aceito nenhuma crítica NENHUMA CRÍTICA a KATHONY, eles entregaram TUDO, casal perfeito e química PERFEITA #Bridgerton https://t.co/h9UhS98I7c",218,228,
73,RT @jolangfrds: simone ashley as kate sharma is the most perfect casting ever #bridgerton https://t.co/PXoee9xOa1,2566,4459,
74,"RT @bellalafin: #Bridgerton SPOILER
.
.
.
.
.
.
.
.
PORQUE ninguém tá falando sobre como o nome da Kate é KATHANI????? achei a coisa mais LINDA, o jeito que o Anthony olhou pra ela e falou o nome dela.",6303,6231,poppycas and jurdan!¡
75,"Kate: Lord #Bridgerton ?

Anthony: https://t.co/sqIRAcyZ7J",344,149,"New York, NY"
76,Okay but I’m lowkey crushing on Kate from @bridgerton #Bridgerton #bridgerton2,145,231,
77,"RT @karmeeleon: It's such a small thing but seeing Kate and Edwina always refer to their dad as ""Appa"" is really making my Tamil heart burst with happiness. This is one form of representation and it matters. #Bridgerton #bridgertonseason2 https://t.co/85NgEf3ir1",2545,3269,"Bethlehem, Pennsylvania"
78,"RT @lovebridgerton: ISSO É TÃO KATHONY NÃO RESPIRO
#Bridgerton https://t.co/UgMrixPjGW",2550,3298,Hogwarts and camp half-blood
79,RT @KateThornley3: Me every time Newton is on screen #Bridgerton https://t.co/vonN5YYSXW,531,1965,
80,Love someone pointing out to Eloise her privilege! Sick of her just running off at the mouth not realizing she has the protection of her money and family #Bridgerton2 #Bridgerton,110,75,
81,The amount of times is yelled at Anthony and Kate to JUST KISS ALREADY is ridiculous now. #Bridgerton 🥺😩,304,107,"Ontario, Canada"
82,"#Bridgerton ep. 5 spoilers 

.
.
.

THEYRE USING KATE’S HAND TO SIZE THE RING OH MY GOD",1853,972,OPP gc
83,"Cressida Cowper still husband less. 
And that attitude is still nasty. Both things are related 
#Bridgerton",1169,929,
84,"a edwina falando pra kate deixar o visconde se apaixonar por ela no ep4
Primeira vez q ela me fez rir
#Bridgerton https://t.co/Vwv0aKtfo8",317,482,
85,"OOOOOOOOOOOhhhhhh, so that’s how they’re explaining the family connections, I see, I see. #Bridgerton",152,471,"Houston, TX"
86,"RT @TelegraphMag: 📺As the second series of #Bridgerton arrives, its newest star Charithra Chandran talks about colour-conscious casting, an Oxford education and romance

Read the full interview ⤵️
https://t.co/aVwlx149v1 https://t.co/jKqfjKYAdL",3753,924,
87,"RT @NetflixIndia: Patiently waiting for SRK to jump out of a helicopter and sweep Kate off her feet. 

#Bridgerton",588,554,SRK's Country
88,"RT @NoContxtBR: Give all the awards to Jonathan Bailey and Simone Ashley now 😭

#Bridgerton #bridgertonS2 #Kanthony #Bridgerton2 https://t.co/9GdNepI80Z",1905,1832,🇵🇭
89,"RT @ladygbson: o melhor de tudo foi a simone e o jonny que conseguiram entregar TUDO como kate e anthony!!!!!! a química de MILHÕES, eles foram perfeitos ❤️ #Bridgerton #bridgertonseason2 https://t.co/34eu26x9Th",2509,231,
90,"RT @blulentigginosa: benedict bridgerton is written by a woman.
#Bridgerton https://t.co/UgNGOEWvKZ",8001,7925,kanej
91,RT @extraord1naryo: quién es el mejor personaje de bridgerton y por qué es eloise bridgerton? #Bridgerton https://t.co/UhhZXM8wgK,1974,2346,Bly Manor
92,"Anthony, you are a damn idiot #Bridgerton",1240,2371,Naboo
93,RT @bridgerton: The Viscount and Miss Sharma may not be the only pair with a love and hate dynamic. #Bridgerton https://t.co/je4NUc1CHm,151,2954,New York
94,"#Bridgerton 

J’ai vraiment aimé.",2806,458,
95,RT @sarawhitney_: My #Bridgerton season 2 binge recap is live! Read along episode by episode: The viscount who smoldered at me https://t.co/4GhOpSTNaP,314,210,
96,Having read all the #Bridgerton books they made Edwina so clueless.,1280,1807,"Newark, NJ"
97,RT @MenaceandRake: We got our tulips #kanthony #bridgerton https://t.co/ihrwuBr7Ul,938,985,no way home
98,"RT @blulentigginosa: benedict bridgerton is written by a woman.
#Bridgerton https://t.co/UgNGOEWvKZ",675,843,
99,"See, this is why I did not care for book Penelope. 🤷🏻‍♀️Sis seemed more concerned about her gossiping rag than her own best friend. That ""you again"" energy.... The show seems to just emphasize it more and making her look mercenary. #Bridgerton https://t.co/RkffzMiOsj",949,579,Henry Cavill's chest
100,RT @niiikkiiix: The way Anthony smelled up Kate like this. Phewwwwwwwww #Bridgerton https://t.co/HlQYHuORJT,7946,8683,crf • fcbm • cfc • rmcf • patriots • isles • lakers
101,watching #Bridgerton while snuggling a baby = my perfect Friday night 😌♥️,373,1413,cashapp: $patriciaaah92
102,RT @crishatesall: literalmente Benedict se llevó la temporada con esta escena donde estaba drogado JAJAJAJAJA #Bridgerton https://t.co/P04znIpWYn,2311,4579,Peru
103,RT @extraord1naryo: quién es el mejor personaje de bridgerton y por qué es eloise bridgerton? #Bridgerton https://t.co/UhhZXM8wgK,690,835,
104,"RT @d_trev: ugh i love historical fiction so much 👏

might mess around and read all the #Bridgerton books",1403,973,
105,"I surely cannot be expected to wait a whole year for the next season of #Bridgerton

#bridgerton2 was quite slow, it dragged but overall the Viscount held his own. The Duke's presence was certainly missed",1708,758,Zambia
106,"RT @cxlinbridgerton: você sabia? para interpretar o coringa, joaquin phoenix teve que assistir 5 episódios de anthony e edwina cortejando
#bridgerton",748,627,she/her
107,anthony bridgerton gostoso demais #Bridgerton https://t.co/sRblVR5fbi,193,238,no coração de Jesus
108,RT @nniegarcia: Daphne every time she sees Anthony with Kate #Bridgerton https://t.co/fT6Z39YOCz,990,2417,Australia
109,"eloise sendo eloise kkkkkkkk

#Bridgerton #bridgertonseason2 https://t.co/mjB7neyeQb",8001,7925,kanej
110,"RT @briarlouie: lollapalooza eh pros fracos, bora assistir a 2 temporada de bridgertons 
#Bridgerton",388,435,mystic falls
111,"Ok, but Prince Friedrich? What a lovely dude… I truly hope he ends up with the Princess of his dreams. 🥹 #Bridgerton",506,664,🇺🇸 || She/Her/Hers
112,"RT @alicxss: eu não aceito nenhuma crítica NENHUMA CRÍTICA a KATHONY, eles entregaram TUDO, casal perfeito e química PERFEITA #Bridgerton https://t.co/h9UhS98I7c",2509,231,
113,"RT @NoContxtBR: I breathe for you &gt;&gt;&gt; I burn for you

#Bridgerton  #Kanthony https://t.co/MZZYlw7K0H",770,572,
114,RT @nniegarcia: Daphne every time she sees Anthony with Kate #Bridgerton https://t.co/fT6Z39YOCz,2320,2131,Dunder Mifflin
115,RT @m_bee4: eloise &amp; benedict continue to be the best sister/brother duo #Bridgerton https://t.co/oIc1xyGF8Z,225,459,Singapore
116,"🪶Lady Danbury 👑Charlotte 
give me complete LYFE! I'm here for It ALL.

📺#BRIDGERTON🐝S2 ep1 

EPIC opening 
this Season will be Interesting New💎etc.. 

Welcome Back! #Bridgerton 👏🏾👏🏾👏🏾 👏🏾 
@bridgerton @shondaland @shondarhimes @netflix https://t.co/1C5omCT9Pe",1393,4787,"BALTIMORE, MD"
117,Wow crazy to think a bumble bee could kill a guy #Bridgerton,300,494,"New Jersey, USA"
118,"RT @baysercel: que beijão viu? 🤌🏼

#Bridgerton https://t.co/PWNnUrXtyg",163,615,♡
119,"o Anthony todo: eu vo parar eu sou um cavalheiro 😡

Enquanto a Kate tá: BORA HOMEM DEIXA DAS TUAS GRAÇAS E CONTINUE COM OS ATOS INDECENTES 

#Bridgerton",242,319,ʙᴏᴏᴋꜱᴛᴀɴ • ᴍᴜʟᴛɪꜰᴀɴᴅᴏᴍ • ᴅ/ᴇʟᴀ
120,RT @bridgerton: It appears that Miss Sharma and The Viscount have found a reason to smile. I wonder what that could be. #Bridgerton https://t.co/PbRGKIfeLP,6303,6231,poppycas and jurdan!¡
